reviewer,starRating,comment,createTime,updateTime,name,displayName,reviewer_name,review_id,reviewReply
{'displayName': 'Gabriel Souza Brito da Silva'},FIVE,"(Translated by Google) Very good

(Original)
Muito bom",2017-07-15T21:37:44.486Z,2017-07-15T21:37:44.486Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURRbHNyZXlRRRAB,Gabriel Souza Brito da Silva,Gabriel Souza Brito da Silva,ChdDSUhNMG9nS0VJQ0FnSURRbHNyZXlRRRAB,
{'displayName': 'Carol Severian'},FIVE,"(Translated by Google) Excellent service, maximum comfort, reasonable price.

(Original)
Atendimento excelente, máximo conforto, preço razoável.",2017-07-14T21:32:45.424Z,2017-07-14T21:32:45.424Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNndF9qeXR3RRAB,Carol Severian,Carol Severian,ChdDSUhNMG9nS0VJQ0FnSUNndF9qeXR3RRAB,
{'displayName': 'Silverio Cavalli junior'},FIVE,"(Translated by Google) Best infrastructure for campers in the region, it also has rooms and a restaurant

(Original)
Melhor infra pro campista da região, além disso tem aptos e restaurante",2017-07-14T18:17:45.876Z,2017-07-14T18:18:29.689Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURBMllMRGFREAE,Silverio Cavalli junior,Silverio Cavalli junior,ChZDSUhNMG9nS0VJQ0FnSURBMllMRGFREAE,
{'displayName': 'Cristina Affonso'},FIVE,"(Translated by Google) Very family place. Always very pleasant and understanding service. Calm place. Breakfast and lunch made with quality and lots of affection. Every detail is thought out for the visitor. Control of the number of people per day guarantees peace of mind. I have already used the camping and this time in the chalet. I keep coming back.

(Original)
Lugar muito família. Atendimento sempre muito agradável e compreensivo. Lugar calma. Café da manhã e almoço feitos c qualidade e muito carinho. Cada detalhe é pensado p o visitante. Controle de quantidade de pessoas por dia garante o sossego. Já usei o camping e dessa vez no chalé. Continuo sempre a voltar.",2017-07-12T12:34:56.343Z,2017-07-12T12:39:10.125Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNBcEsyTmtRRRAB,Cristina Affonso,Cristina Affonso,ChdDSUhNMG9nS0VJQ0FnSUNBcEsyTmtRRRAB,
{'displayName': 'Jacky Feitoza'},FOUR,,2017-07-10T07:22:13.565Z,2017-07-10T07:22:17.361Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNnazQ2aWF3EAE,Jacky Feitoza,Jacky Feitoza,ChZDSUhNMG9nS0VJQ0FnSUNnazQ2aWF3EAE,
{'displayName': 'Walter Augusto Benatti'},FIVE,"(Translated by Google) Great place to camp, or stay in great cabins with family or friends. Place with restaurant and good structure next to nature.

(Original)
Ótimo local para acampar, ou ficar em ótimos chalés com a família ou amigos. Local com restaurante e boa estrutura junto a natureza.",2017-07-09T17:55:46.588Z,2017-07-09T17:56:52.874Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURBamFiX1lREAE,Walter Augusto Benatti,Walter Augusto Benatti,ChZDSUhNMG9nS0VJQ0FnSURBamFiX1lREAE,
{'displayName': 'Pedro Antonio Filho'},FIVE,,2017-07-06T22:31:51.537Z,2017-07-06T22:31:51.537Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUN3eW92Q09BEAE,Pedro Antonio Filho,Pedro Antonio Filho,ChZDSUhNMG9nS0VJQ0FnSUN3eW92Q09BEAE,
{'displayName': 'lucio nunes'},FIVE,"(Translated by Google) Excellent

(Original)
Ótimo",2017-11-19T20:07:08.318Z,2017-11-19T20:07:08.318Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURROGNiME5BEAE,lucio nunes,lucio nunes,ChZDSUhNMG9nS0VJQ0FnSURROGNiME5BEAE,
{'displayName': 'Felipe Souza'},TWO,"(Translated by Google) Crowded!! It had everything to be good. Dirty pool.

(Original)
Lotado!! Tinha tudo pra ser bom. Piscina suja.",2017-10-15T10:02:21.987Z,2017-11-19T12:12:37.904Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNBaDZMazlBRRAB,Felipe Souza,Felipe Souza,ChdDSUhNMG9nS0VJQ0FnSUNBaDZMazlBRRAB,
{'displayName': 'Denis André Dellanava Martin'},FIVE,Top,2017-11-16T21:37:53.212Z,2017-11-16T21:37:59.663Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURBNHJyRlFBEAE,Denis André Dellanava Martin,Denis André Dellanava Martin,ChZDSUhNMG9nS0VJQ0FnSURBNHJyRlFBEAE,
{'displayName': 'Henrique Schroder'},FIVE,"(Translated by Google) Great facilities, good trails, restaurant, etc.

(Original)
Ótimas instalações, boas trilhas, restaurante, etc",2017-11-14T00:34:39.487Z,2017-11-14T00:34:39.487Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNRdFBpYWVBEAE,Henrique Schroder,Henrique Schroder,ChZDSUhNMG9nS0VJQ0FnSUNRdFBpYWVBEAE,
{'displayName': 'Raphaela Barzon'},FIVE,"(Translated by Google) The atmosphere is very familiar, the food is very delicious and the chalets are cozy.

(Original)
O ambiente é bem familiar,a comida é muito gostosa e os chalés aconchegantes",2017-11-10T18:17:35.231Z,2017-11-10T18:18:31.909Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNnczlTeTVRRRAB,Raphaela Barzon,Raphaela Barzon,ChdDSUhNMG9nS0VJQ0FnSUNnczlTeTVRRRAB,
{'displayName': 'Wolle B'},FOUR,,2017-11-10T10:31:21.514Z,2017-11-10T10:31:21.514Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURnaHNiNnR3RRAB,Wolle B,Wolle B,ChdDSUhNMG9nS0VJQ0FnSURnaHNiNnR3RRAB,
{'displayName': 'Fabio Cunha'},FIVE,"(Translated by Google) We liked a lot

(Original)
Gostamos muito",2017-11-09T21:05:11.121Z,2017-11-09T21:05:34.753Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNBcklDZHpRRRAB,Fabio Cunha,Fabio Cunha,ChdDSUhNMG9nS0VJQ0FnSUNBcklDZHpRRRAB,
{'displayName': 'Beatriz Machado Canedo'},FIVE,,2017-11-09T19:02:36.324Z,2017-11-09T19:02:36.324Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNBaGVfM19RRRAB,Beatriz Machado Canedo,Beatriz Machado Canedo,ChdDSUhNMG9nS0VJQ0FnSUNBaGVfM19RRRAB,
{'displayName': 'Glaucia Oliveira'},FIVE,,2017-11-09T11:21:09.141Z,2017-11-09T11:21:09.141Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNRaXVYUVhBEAE,Glaucia Oliveira,Glaucia Oliveira,ChZDSUhNMG9nS0VJQ0FnSUNRaXVYUVhBEAE,
{'displayName': 'Jorge de Souza'},FIVE,"(Translated by Google) Family environment, excellent leisure option.

(Original)
Ambiente familiar, excelente opção de lazer.",2017-11-09T09:09:35.026Z,2017-11-09T09:10:08.856Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURBaE9ISFZREAE,,,,
{'displayName': 'Paulo Bertinelli'},FIVE,"(Translated by Google) Ideal place to rest.

(Original)
Lugar ideal para descansar.",2017-11-08T14:51:38.767Z,2017-11-08T14:51:49.339Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUN3bjRpLVB3EAE,,,,
{'displayName': 'Renata Sol S'},TWO,"(Translated by Google) I based on the reviews to choose the inn, but I didn't have a good experience. Camping is on a hill and the reserved chalet was like we were inside a hole. Old furniture and no kitchen accessories. Spider web in several places. Television only picked up one channel. Poor quality rented linen and stained pillows.
I went at night and the playground and the pool were in the dark. Poor lighting. Impossible to use. With a small child who needs an attraction, I don't recommend it. You can't even use velotrol at the campsite.
Positive point for the service of the staff. They were prompt in reimbursing us.

(Original)
Me baseei nas avaliações pra escolher a pousada, mas não tive boa experiência. Camping fica num morro e o chalé reservado era como se nós estivéssemos dentro de um buraco. Móveis velhos e nenhum acessório de cozinha. Teia de aranha em vários lugares. Televisão só pegava um canal. Roupa de cama alugada de má qualidade e travesseiros manchados.
Fui a noite e o playground e a piscina ficam no escuro. Iluminação precária. Impossível de usar. Com criança pequena que precisa de um atrativo, não recomendo. Nem velotrol dá pra usar no camping.
Ponto positivo pro atendimento dos funcionários. Foram prontos em nos reembolsar.",2017-11-03T20:57:49.779Z,2017-11-03T20:57:49.779Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURBdDRDaWRBEAE,,,,
{'displayName': 'Paulo Sérgio Francisco de Jesus'},ONE,,2017-11-03T19:15:52.128Z,2017-11-03T19:15:52.128Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNRNHFUUTVBRRAB,,,,
{'displayName': 'Elaina Fanchini'},FIVE,"(Translated by Google) Cozy....I really like the place and the staff!!! Very good service and great food!

(Original)
Aconchegante....gosto muito do local e dos funcionários!!! Atendimento muito bom e comida TB!",2017-11-03T17:57:17.154Z,2017-11-03T17:57:57.494Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNBanJUb3pRRRAB,,,,
{'displayName': 'Gabriela Branco'},FOUR,,2017-11-02T12:09:46.639Z,2017-11-02T12:09:46.639Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZaUk3LUZ3EAE,,,,
{'displayName': 'Sarah Velloso'},FIVE,,2017-11-02T01:28:01.062Z,2017-11-02T01:28:01.062Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURnMk5mMFRREAE,,,,
{'displayName': 'Fernanda Jimenez'},FIVE,,2017-11-01T10:15:14.686Z,2017-11-01T10:15:14.686Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNBcHRldEVREAE,,,,
{'displayName': 'Alexandre Amarelo'},FIVE,,2017-10-28T22:38:31.004Z,2017-10-28T22:38:31.004Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZaUt6ZVpBEAE,,,,
{'displayName': 'Danilo Barão'},FIVE,"(Translated by Google) Excellent service, staff always very attentive

(Original)
Excelente atendimento, pessoal sempre bem atencioso",2017-10-27T09:00:12.800Z,2017-10-27T09:00:53.765Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURRbXBqYW1BRRAB,,,,
{'displayName': 'josias marciano da cruz neto neto'},THREE,,2017-10-27T01:54:26.675Z,2017-10-27T01:54:26.675Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURnN2FyRlpBEAE,,,,
{'displayName': 'Érica Teixeira'},FOUR,,2018-03-11T12:26:43.805Z,2018-03-11T12:26:43.805Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZaU1LUGxnRRAB,,,,
{'displayName': 'Fernando Posso'},FIVE,,2018-03-11T11:55:40.211Z,2018-03-11T11:55:40.211Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNZaVBxV0FnEAE,,,,
{'displayName': 'michele silva'},FOUR,,2018-03-10T20:38:03.083Z,2018-03-10T20:38:03.083Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURRdC1IUDlBRRAB,,,,
{'displayName': 'Ana Carolina Cordeiro'},FOUR,,2018-03-10T11:45:18.264Z,2018-03-10T11:45:18.264Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUN3aGEzY2JnEAE,,,,
{'displayName': 'Mariana Meneguim Wonraht'},FOUR,,2018-03-10T10:55:28.512Z,2018-03-10T10:55:28.512Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNnaDZHcTZRRRAB,,,,
{'displayName': 'Ricardo Gonçalves'},FOUR,"(Translated by Google) It's been great.

(Original)
Está sendo ótima.",2018-03-09T17:51:47.490Z,2018-03-09T17:51:47.490Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNnd096dWl3RRAB,,,,
{'displayName': 'Giovanna Correia Dos Santos Ferrera'},FIVE,"(Translated by Google) This place is good, you just have to improve the chalet

(Original)
Esse lugar e bom só tem que melhorar o chalé",2018-03-07T23:35:04.678Z,2018-03-07T23:35:38.919Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURBN1BEenl3RRAB,,,,
{'displayName': 'Verenice Oliveira'},FIVE,"(Translated by Google) Excellent. Well family.

(Original)
Otimo. Bem familia.",2018-03-06T21:54:08.604Z,2018-03-06T21:54:23.788Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNBb3Z1RVR3EAE,,,,
{'displayName': 'Isaque Mauro'},FIVE,Otims,2018-03-06T01:21:08.700Z,2018-03-06T01:21:17.428Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNBcExUTzNRRRAB,,,,
{'displayName': 'Mel Carlota'},FIVE,,2018-03-05T13:19:57.073Z,2018-03-05T13:19:57.073Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZaUxMUm13RRAB,Mel Carlota,Mel Carlota,ChdDSUhNMG9nS0VJQ0FnSUNZaUxMUm13RRAB,
{'displayName': 'Fabiano Salermo de Aquino'},FOUR,,2018-03-05T01:10:23.097Z,2018-03-05T01:10:23.097Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUN3eGJhOWlBRRAB,Fabiano Salermo de Aquino,Fabiano Salermo de Aquino,ChdDSUhNMG9nS0VJQ0FnSUN3eGJhOWlBRRAB,
{'displayName': 'Elton Rafael'},FOUR,,2018-03-04T23:16:10.984Z,2018-03-04T23:16:10.984Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNBMkpLSExnEAE,Elton Rafael,Elton Rafael,ChZDSUhNMG9nS0VJQ0FnSUNBMkpLSExnEAE,
{'displayName': 'Fernando Oliveira'},FIVE,"(Translated by Google) Very good for camping or renting a chalet

(Original)
Muito bom para acampar ou alugar chalé",2018-03-03T21:18:03.304Z,2018-03-03T21:18:18.649Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNBNHVIUFRBEAE,Fernando Oliveira,Fernando Oliveira,ChZDSUhNMG9nS0VJQ0FnSUNBNHVIUFRBEAE,
{'displayName': 'Paulo Sousa'},FIVE,,2018-03-01T09:04:48.649Z,2018-03-01T09:04:48.649Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURnaDhPX2xBRRAB,Paulo Sousa,Paulo Sousa,ChdDSUhNMG9nS0VJQ0FnSURnaDhPX2xBRRAB,
{'displayName': 'Andréia Coelho'},FIVE,"(Translated by Google) Family atmosphere. Great place to rest

(Original)
Ambiente familiar. Ótimo local para descanso",2018-03-01T01:01:12.852Z,2018-03-01T01:01:34.540Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNneXBUNkZREAE,Andréia Coelho,Andréia Coelho,ChZDSUhNMG9nS0VJQ0FnSUNneXBUNkZREAE,
{'displayName': 'Matheus SB'},FIVE,"(Translated by Google) Great food.. cozy place

(Original)
Comida ótima.. lugar aconchegante",2018-02-28T16:13:13.279Z,2018-02-28T16:13:30.711Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUN3OE02Y0hBEAE,Matheus SB,Matheus SB,ChZDSUhNMG9nS0VJQ0FnSUN3OE02Y0hBEAE,
{'displayName': 'Eliezer Monteiro'},FIVE,"(Translated by Google) Just wonderful. Good price, good restaurant too. Ideal for those who like to camp. Easy access. I recommend.

(Original)
Simplesmente maravilhoso. Preço bom, restaurante bom também. Ideal para quem gosta de acampar. Fácil acesso. Recomendo.",2018-01-21T17:49:56.901Z,2018-02-27T03:02:33.005Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSUNnNFA2VUNREAE,Eliezer Monteiro,Eliezer Monteiro,ChZDSUhNMG9nS0VJQ0FnSUNnNFA2VUNREAE,
{'displayName': 'Lucas Gasparini'},FIVE,"(Translated by Google) Very good

(Original)
Muito boa",2018-02-26T15:46:56.876Z,2018-02-26T15:47:54.784Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURBLTk2eHVRRRAB,Lucas Gasparini,Lucas Gasparini,ChdDSUhNMG9nS0VJQ0FnSURBLTk2eHVRRRAB,
{'displayName': 'wagner diniz'},FIVE,"(Translated by Google) The best

(Original)
O melhor",2018-02-26T11:59:53.396Z,2018-02-26T12:00:00.704Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSUNZaU9idHhRRRAB,wagner diniz,wagner diniz,ChdDSUhNMG9nS0VJQ0FnSUNZaU9idHhRRRAB,
{'displayName': 'Paulo Sergio Costa Braga'},FIVE,"(Translated by Google) Very quiet and wonderful family place

(Original)
Local muito tranquilo e familiar maravilhoso",2018-02-26T11:49:25.750Z,2018-02-26T11:50:19.695Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURBaU9td09BEAE,Paulo Sergio Costa Braga,Paulo Sergio Costa Braga,ChZDSUhNMG9nS0VJQ0FnSURBaU9td09BEAE,
{'displayName': 'Cássio Trajano'},FIVE,"(Translated by Google) I'm there every beginning of the year I highly recommend the chalets food entertainment a wide variety.

(Original)
Estou lá todo começo de ano super recomendo chalés comidas entretenimento uma grande variedade.",2019-01-29T16:49:28.556676Z,2019-01-29T16:49:28.556676Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJdjktNTN3RRAB,Cássio Trajano,Cássio Trajano,ChdDSUhNMG9nS0VJQ0FnSURJdjktNTN3RRAB,
{'displayName': 'Danielle cristine faria de oliveira'},FIVE,"(Translated by Google) Very beautiful and pleasant place. Breakfast and lunch have a lot of variety and are delicious.

(Original)
Lugar muito bonito e agradável.  O café da manhã e almoço possui bastante variedades e são saborosos.",2019-01-28T14:40:59.180127Z,2019-01-28T14:40:59.180127Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJbjdMczlRRRAB,Danielle cristine faria de oliveira,Danielle cristine faria de oliveira,ChdDSUhNMG9nS0VJQ0FnSURJbjdMczlRRRAB,
{'displayName': 'Arthursousa Vieira'},FIVE,"(Translated by Google) One of the best canpings in the region

(Original)
Um dos melhores canpings da região",2019-01-28T02:05:47.566036Z,2019-01-28T02:05:47.566036Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURJcjYtZGFREAE,Arthursousa Vieira,Arthursousa Vieira,ChZDSUhNMG9nS0VJQ0FnSURJcjYtZGFREAE,
{'displayName': 'EVANDERSON ALEXANDRE'},FIVE,"(Translated by Google) Family place but I found things on site expensive like lunch, ice cream, entrance, chalets

(Original)
Lugar familiar mas achei caro as coisas no local tipo almoço, sorvete,entrada , chalés",2019-01-28T00:56:38.167475Z,2019-01-28T00:56:38.167475Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChZDSUhNMG9nS0VJQ0FnSURJcjl2eVBnEAE,EVANDERSON ALEXANDRE,EVANDERSON ALEXANDRE,ChZDSUhNMG9nS0VJQ0FnSURJcjl2eVBnEAE,
{'displayName': 'Richard Xavier'},FIVE,"(Translated by Google) Great place! Affordable price and that's where Greice's trailer is!

(Original)
Ótimo lugar! Preço acessível  e é lá que fica o trailer da Greice!",2019-01-27T20:42:17.239839Z,2019-01-27T20:43:28.501122Z,accounts/113838515205835963900/locations/4152719819240239429/reviews/ChdDSUhNMG9nS0VJQ0FnSURJcl9iMDV3RRAB,Richard Xavier,Richard Xavier,ChdDSUhNMG9nS0VJQ0FnSURJcl9iMDV3RRAB,
